meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,40290,< 5
hospitalisation_secondary,ICD9,4281,5
hospitalisation_secondary,ICD9,40210,5
hospitalisation_secondary,ICD9,4280,5
hospitalisation_primary,ICD9,4281,< 5
hospitalisation_primary,ICD9,4280,< 5
hospitalisation_secondary,ICD9,42832,< 5
hospitalisation_secondary,ICD9,42842,< 5
hospitalisation_primary,ICD9,40411,< 5
hospitalisation_primary,ICD9,5184,< 5
hospitalisation_secondary,ICD9,5184,< 5
hospitalisation_secondary,ICD9,40211,< 5
hospitalisation_secondary,ICD9,40200,< 5
hospitalisation_secondary,ICD9,40291,< 5
